date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-04-17,71.1,73.32,72.4,70.79,903679.5,2.02,2.87,70.956,70.363,69.796,470600.79,488962.22,564801.32
2020-04-16,70.5,70.71,70.38,70.16,282942.59,-0.47,-0.66,70.674,70.09,69.566,443114.82,449797.2,581455.38
2020-04-15,71.07,71.38,70.85,70.65,381515.22,-0.17,-0.24,70.526,69.984,69.541,460187.93,477195.81,609917.31
2020-04-14,70.68,71.17,71.02,70.25,429696.78,0.89,1.27,70.234,69.816,69.605,456376.62,481581.07,638387.69
2020-04-13,70.45,70.79,70.13,70.0,355169.88,-0.86,-1.21,70.024,69.629,69.654,494306.79,485406.99,665861.52
2020-04-10,69.65,72.43,70.99,69.38,766249.62,1.35,1.94,69.77,69.588,69.883,507323.64,510198.43,706410.9
2020-04-09,69.65,69.96,69.64,69.38,368308.16,0.25,0.36,69.506,69.508,70.166,456479.58,488560.44,713162.95
2020-04-08,69.57,69.8,69.39,69.32,362458.66,-0.58,-0.83,69.442,69.579,70.592,494203.68,544548.25,724317.74
2020-04-07,70.08,70.3,69.97,69.56,619347.62,1.11,1.61,69.398,69.535,71.081,506785.53,587465.7,742045.13
2020-04-03,69.1,69.26,68.86,68.41,420254.16,-0.81,-1.16,69.234,69.214,71.49,476507.2,593938.91,763831.88
2020-04-02,68.4,69.67,69.67,67.76,512029.28,0.35,0.51,69.406,69.228,72.092,513073.21,640640.43,772028.47
2020-04-01,69.0,70.47,69.32,68.9,556928.69,0.15,0.22,69.51,69.042,72.731,520641.31,713113.56,794459.14
2020-03-31,70.11,70.35,69.17,69.01,425367.88,0.02,0.03,69.716,69.097,73.294,594892.81,742638.8,800491.44
2020-03-30,68.6,69.39,69.15,68.45,467955.97,-0.57,-0.82,69.672,69.394,73.81,668145.87,795194.3,813134.96
2020-03-27,71.25,71.29,69.72,69.72,603084.25,-0.47,-0.67,69.194,69.679,74.332,711370.61,846316.05,825353.33
2020-03-26,69.48,71.0,70.19,69.35,549869.75,-0.16,-0.23,69.05,70.178,74.732,768207.64,902623.38,844395.28
2020-03-25,70.6,71.23,70.35,69.88,928186.19,1.4,2.03,68.574,70.824,75.212,905585.81,937765.45,850241.45
2020-03-24,67.95,69.05,68.95,67.82,791633.19,2.19,3.28,68.478,71.604,75.686,890384.8,904087.23,846040.46
2020-03-23,66.0,67.5,66.76,66.0,684079.69,-2.24,-3.25,69.116,72.627,76.248,922242.74,896624.56,849908.85
2020-03-20,68.71,69.4,69.0,67.35,887269.38,1.19,1.75,70.164,73.765,76.946,981261.49,933724.85,867460.01
2020-03-19,69.1,69.87,67.81,66.32,1236760.62,-2.06,-2.95,71.306,74.956,77.615,1037039.11,903416.52,877791.84
