date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-04-17,36.1,37.72,36.55,35.8,476390.31,0.55,1.53,34.814,33.43,31.903,394111.37,334459.52,281955.44
2020-04-16,35.0,36.59,36.0,34.8,432324.72,1.1,3.15,33.94,32.881,31.576,370141.49,303071.89,270303.31
2020-04-15,35.0,35.42,34.9,34.29,347842.88,0.14,0.4,33.212,32.39,31.3,336645.92,288137.07,261693.88
2020-04-14,32.01,35.0,34.76,31.81,514378.75,2.9,9.1,32.536,32.066,31.084,299805.1,295848.78,259083.16
2020-04-13,32.06,32.5,31.86,31.26,199620.2,-0.32,-0.99,32.022,31.555,30.854,251243.56,267599.14,249323.6
2020-04-10,32.5,33.7,32.18,32.15,356540.88,-0.18,-0.56,32.046,31.482,30.765,274807.67,282053.11,254495.41
2020-04-09,31.8,32.75,32.36,31.5,264846.88,0.84,2.67,31.822,31.292,30.706,236002.29,267348.04,247876.63
2020-04-08,32.0,32.0,31.52,31.39,163638.8,-0.67,-2.08,31.568,31.047,30.673,239628.22,257607.76,252491.45
2020-04-07,32.0,32.78,32.19,31.8,271571.06,0.21,0.66,31.596,30.85,30.666,291892.46,258041.1,264816.89
2020-04-03,30.83,32.42,31.98,30.73,317440.75,0.92,2.96,31.088,30.545,30.564,283954.72,247670.87,270526.77
2020-04-02,31.09,31.18,31.06,30.3,162513.94,-0.03,-0.1,30.918,30.376,30.46,289298.55,229451.35,261922.37
2020-04-01,32.0,32.05,31.09,30.6,282976.53,-0.57,-1.8,30.762,30.27,30.402,298693.79,237534.74,265997.08
2020-03-31,30.3,32.27,31.66,29.55,424960.03,2.01,6.78,30.526,30.21,30.307,275587.3,235250.69,257499.68
2020-03-30,31.13,31.48,29.65,29.59,231882.36,-1.48,-4.75,30.104,30.102,30.188,224189.74,222317.54,249336.53
2020-03-27,30.39,31.99,31.13,30.3,344159.91,0.85,2.81,30.002,30.152,30.178,211387.02,231048.06,248023.52
2020-03-26,29.89,30.63,30.28,29.8,209490.12,0.37,1.24,29.834,30.047,30.052,169604.15,226937.71,241564.44
2020-03-25,30.0,30.16,29.91,29.51,167444.09,0.36,1.22,29.778,30.119,30.021,176375.68,228405.21,237780.49
2020-03-24,29.51,29.83,29.55,28.95,167972.2,0.41,1.41,29.894,30.298,30.006,194914.07,247375.13,240243.54
2020-03-23,29.25,29.98,29.14,29.12,167868.77,-1.15,-3.8,30.1,30.481,30.06,220445.34,271592.69,246880.37
2020-03-20,30.19,30.48,30.29,29.82,135245.56,0.29,0.97,30.302,30.583,30.134,250709.11,293382.66,255237.18
2020-03-19,30.45,30.78,30.0,29.19,243347.78,-0.49,-1.61,30.26,30.544,30.1,284271.27,294393.39,257179.88
2020-03-18,30.92,31.77,30.49,30.49,260136.05,-0.09,-0.29,30.46,30.534,30.077,280434.74,294459.42,253822.09
2020-03-17,30.22,31.03,30.58,28.8,295628.53,0.43,1.43,30.702,30.403,30.019,299836.19,279748.68,250019.33
2020-03-16,30.0,31.45,30.15,29.7,319187.62,0.07,0.23,30.862,30.273,29.98,322740.03,276355.52,248573.94
2020-03-13,29.6,30.58,30.08,29.4,303056.38,-0.92,-2.97,30.864,30.204,29.997,336056.22,264998.97,254210.49
2020-03-12,31.46,32.16,31.0,30.58,224165.14,-0.7,-2.21,30.828,30.056,29.96,304515.52,256191.17,257004.91
2020-03-11,31.97,32.85,31.7,31.51,357143.28,0.32,1.02,30.608,29.923,29.819,308484.1,247155.76,255650.57
2020-03-10,29.93,31.48,31.38,29.65,410147.75,1.22,4.04,30.104,29.713,29.68,259661.17,233111.96,250079.25
2020-03-09,29.66,30.97,30.16,29.51,385768.53,0.26,0.87,29.684,29.638,29.53,229971.01,222168.04,238202.85
2020-03-06,29.8,30.32,29.9,29.55,145352.88,0.0,0.0,29.544,29.684,29.453,193941.73,217091.69,233629.84
2020-03-05,29.45,30.15,29.9,28.97,244008.08,0.72,2.47,29.284,29.655,29.369,207866.83,219966.37,239810.61
2020-03-04,29.3,29.42,29.18,28.82,113028.63,-0.1,-0.34,29.238,29.62,29.313,185827.42,213184.76,244235.96
2020-03-03,29.8,30.4,29.28,28.95,261696.92,-0.18,-0.61,29.322,29.635,29.265,206562.74,220289.98,254399.71
2020-03-02,29.0,29.67,29.46,28.61,205622.12,0.86,3.01,29.592,29.687,29.194,214365.08,220792.36,261208.79
2020-02-28,29.0,29.5,28.6,28.43,214978.41,-1.07,-3.61,29.824,29.789,29.003,240241.66,243422.01,274909.18
2020-02-27,29.88,30.48,29.67,29.32,133811.02,0.07,0.24,30.026,29.864,28.984,232065.91,257818.64,281751.72
2020-02-26,30.29,30.48,29.6,29.55,216705.23,-1.03,-3.36,30.002,29.715,28.98,240542.1,264145.38,288012.23
2020-02-25,30.3,31.16,30.63,29.62,300708.62,0.01,0.03,29.948,29.647,29.03,234017.23,267046.54,295121.42
2020-02-24,29.87,30.97,30.62,29.62,335005.0,1.01,3.41,29.782,29.422,29.005,227219.64,254237.65,296210.9
2020-02-21,29.38,29.87,29.61,29.21,174099.69,0.06,0.2,29.754,29.222,28.959,246602.36,250167.99,290092.6
2020-02-20,29.19,29.65,29.55,29.11,176191.95,0.22,0.75,29.702,29.082,28.931,283571.37,259654.84,291104.76
2020-02-19,29.7,30.0,29.33,29.15,184080.88,-0.47,-1.58,29.428,29.005,28.939,287748.67,275287.16,290074.89
2020-02-18,30.45,30.45,29.8,29.68,266720.66,-0.68,-2.23,29.346,28.895,28.954,300075.85,288509.43,291299.91
2020-02-17,29.46,30.86,30.48,29.46,431918.62,1.13,3.85,29.062,28.7,28.973,281255.66,301625.22,291830.56
2020-02-14,28.41,29.45,29.35,28.25,358944.75,1.17,4.15,28.69,28.217,28.934,253733.61,306396.36,290094.66
2020-02-13,28.77,29.2,28.18,28.0,197078.44,-0.74,-2.56,28.462,28.104,28.926,235738.31,305684.8,286063.49
